Owner ID,Owner,Team Name,Wins,Losses,Ties
36047,santiago,Westchester United,83,90,0
41330,alex,ALpocalypse Redux,87,58,0
66048,quino,Super Crassie Ninja Monkeys,84,89,0
108138,Marlone,BigDicksNoWhammies,99,74,0
108610,Isaac,Azteks,83,90,0
309543,Charlie,Mobb,96,77,0
476752,Mike,Chierfs,60,113,0
668102,Paul,General Jackson,31,34,0
1465323,Javier,Gladiators,88,85,0
1593176,Alex,El Jefe Don Patron,50,54,0
2013324,Cordell,Balls_Deeep,14,25,0
2424995,Bryan,Rex and the City,7,6,0
2291835,Monica,Pancakers,82,78,0
9856334,Fabian,Monsters of the Gridiron,76,58,0
14541337,Javier,Javs21,5,8,0
126705,Jovan,I'm 9,39,56,0
5203445,Daniel,Tompa Bay Pats,39,30,0
32797266,Al,ALpocalypse Now,15,13,0
